Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1471,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,34,1988,30.6,592,569,16,2,9,5,18,1,0,0,0,0,416,7,23,Matches
1472,Jamie Leweling,de GER,"FW,MF",Stuttgart,de Bundesliga,22,2001,16.9,599,580,19,1,2,2,46,16,1,0,0,0,470,0,22,Matches
1473,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,18,2004,9.0,568,525,43,9,1,0,1,34,0,0,0,0,518,0,11,Matches
1474,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,eng Premier League,22,2001,16.0,415,404,10,3,2,4,50,6,0,0,0,0,289,1,13,Matches
1475,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,27,1996,14.1,982,914,65,31,2,8,4,17,0,0,0,0,814,3,6,Matches
1476,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23,1999,15.4,1193,1169,23,19,0,3,2,1,0,0,0,0,1120,1,4,Matches
1477,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,29,1994,14.8,927,854,73,8,2,5,1,50,0,0,0,0,826,0,7,Matches
1478,Jesper Lindstrøm,dk DEN,"FW,MF",Napoli,it Serie A,23,2000,4.8,229,215,14,4,1,2,12,6,4,1,2,1,188,0,11,Matches
1479,Jesper Lindstrøm,dk DEN,FW,Eint Frankfurt,de Bundesliga,23,2000,0.9,32,31,1,0,0,0,1,0,0,0,0,0,24,0,0,Matches
1480,Karol Linetty,pl POL,MF,Torino,it Serie A,28,1995,20.6,884,849,31,24,0,7,19,2,5,2,3,0,755,4,8,Matches
1481,Samuel Lino,br BRA,"DF,MF",Atlético Madrid,es La Liga,23,1999,23.1,1015,961,48,4,5,8,41,42,2,0,0,0,816,6,35,Matches
1482,Luca Lipani,it ITA,MF,Sassuolo,it Serie A,18,2005,4.3,160,157,3,3,0,2,5,0,0,0,0,0,123,0,3,Matches
1483,Pol Lirola,es ESP,DF,Frosinone,it Serie A,25,1997,17.1,722,627,93,15,2,2,25,78,0,0,0,0,556,2,20,Matches
1484,Marcin Listkowski,pl POL,FW,Lecce,it Serie A,25,1998,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
1485,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,20,2002,14.6,802,697,105,4,0,1,26,101,0,0,0,0,689,0,12,Matches
