Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
276,Saïd Benrahma,dz ALG,"FW,MF",West Ham,eng Premier League,27,1995,6.9,0,18,5,27.8,2.61,0.73,0.00,0.00,19.8,0,0,1,1.8,1.0,0.06,-1.8,-1.0,Matches
277,Saïd Benrahma,dz ALG,"FW,MF",Lyon,fr Ligue 1,27,1995,8.6,3,25,9,36.0,2.92,1.05,0.12,0.33,21.5,2,0,0,1.6,1.6,0.06,+1.4,+1.4,Matches
278,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,28,1995,11.5,0,16,0,0.0,1.39,0.00,0.00,,17.1,0,0,0,1.7,1.7,0.11,-1.7,-1.7,Matches
279,Nabil Bentaleb,dz ALG,MF,Lille,fr Ligue 1,28,1994,21.9,0,10,2,20.0,0.46,0.09,0.00,0.00,29.3,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
280,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,26,1997,11.2,1,18,4,22.2,1.61,0.36,0.06,0.25,16.3,0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches
281,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,30,1993,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
282,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,19,2003,11.2,1,5,2,40.0,0.45,0.18,0.20,0.50,10.8,0,0,0,1.0,1.0,0.20,0.0,0.0,Matches
283,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,28,1994,15.9,9,46,19,41.3,2.89,1.19,0.09,0.21,23.3,2,5,5,6.5,2.6,0.06,+2.5,+1.4,Matches
284,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,33,1990,21.4,3,18,6,33.3,0.84,0.28,0.17,0.50,19.1,0,0,0,0.9,0.7,0.04,+2.1,+2.3,Matches
285,Álex Berenguer,es ESP,FW,Athletic Club,es La Liga,28,1995,17.7,7,31,11,35.5,1.75,0.62,0.19,0.55,16.4,3,1,1,5.2,4.4,0.14,+1.8,+1.6,Matches
286,Bartosz Bereszyński,pl POL,DF,Empoli,it Serie A,31,1992,19.6,0,3,1,33.3,0.15,0.05,0.00,0.00,27.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
287,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,eng Premier League,32,1990,13.2,1,15,6,40.0,1.13,0.45,0.07,0.17,15.6,1,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches
288,Sander Berge,no NOR,MF,Burnley,eng Premier League,25,1998,33.4,1,25,3,12.0,0.75,0.09,0.04,0.33,17.6,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
289,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34,1989,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
290,Medon Berisha,al ALB,"FW,MF",Lecce,it Serie A,19,2003,2.3,0,2,0,0.0,0.88,0.00,0.00,,17.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
291,Mergim Berisha,de GER,FW,Hoffenheim,de Bundesliga,25,1998,1.6,0,6,1,16.7,3.75,0.62,0.00,0.00,16.2,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
292,Mergim Berisha,de GER,FW,Augsburg,de Bundesliga,25,1998,1.4,0,5,0,0.0,3.69,0.00,0.00,,30.7,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
293,Bernardo,br BRA,DF,Bochum,de Bundesliga,28,1995,32.5,1,29,8,27.6,0.89,0.25,0.03,0.13,12.4,0,0,0,1.9,1.9,0.07,-0.9,-0.9,Matches
294,Victor Bernth Kristiansen,dk DEN,DF,Bologna,it Serie A,20,2002,25.6,0,6,2,33.3,0.23,0.08,0.00,0.00,18.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
295,Matúš Bero,sk SVK,"MF,FW",Bochum,de Bundesliga,27,1995,18.5,1,30,6,20.0,1.63,0.33,0.03,0.17,19.9,0,0,0,2.9,2.9,0.10,-1.9,-1.9,Matches
296,Luke Berry,eng ENG,"MF,DF",Luton Town,eng Premier League,31,1992,3.6,2,8,4,50.0,2.23,1.11,0.25,0.50,10.9,0,0,0,1.0,1.0,0.13,+1.0,+1.0,Matches
297,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,25,1998,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
298,Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,de Bundesliga,24,1999,28.9,8,48,18,37.5,1.66,0.62,0.17,0.44,22.0,10,0,1,4.3,3.5,0.07,+3.7,+4.5,Matches
299,Beto,gw GNB,FW,Everton,eng Premier League,25,1998,10.6,3,42,12,28.6,3.97,1.14,0.07,0.25,14.7,0,0,1,6.8,6.0,0.14,-3.8,-3.0,Matches
300,Beto,gw GNB,FW,Udinese,it Serie A,25,1998,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
301,Davide Bettella,it ITA,MF,Monza,it Serie A,23,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
302,Sam Beukema,nl NED,DF,Bologna,it Serie A,24,1998,28.3,1,12,4,33.3,0.42,0.14,0.08,0.25,9.7,0,0,0,1.9,1.9,0.16,-0.9,-0.9,Matches
303,Jordan Beyer,de GER,DF,Burnley,eng Premier League,23,2000,13.7,0,5,0,0.0,0.36,0.00,0.00,,8.2,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
304,Pep Biel,es ESP,"MF,FW",Augsburg,de Bundesliga,26,1996,3.2,0,6,1,16.7,1.89,0.32,0.00,0.00,15.0,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
305,Jaka Bijol,si SVN,DF,Udinese,it Serie A,24,1999,23.2,0,15,2,13.3,0.65,0.09,0.00,0.00,9.1,0,0,0,1.9,1.9,0.13,-1.9,-1.9,Matches
306,El Bilal Touré,ml MLI,FW,Atalanta,it Serie A,21,2001,4.4,2,12,4,33.3,2.74,0.91,0.17,0.50,15.2,0,0,0,1.2,1.2,0.10,+0.8,+0.8,Matches
307,Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,27,1996,15.5,2,30,8,26.7,1.93,0.52,0.07,0.25,20.6,7,0,0,2.5,2.5,0.08,-0.5,-0.5,Matches
308,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,30,1992,26.2,2,16,5,31.3,0.61,0.19,0.13,0.40,28.1,7,0,1,1.6,0.8,0.05,+0.4,+1.2,Matches
309,Davide Biraschi,it ITA,DF,Genoa,it Serie A,29,1994,1.0,1,1,1,100.0,1.00,1.00,1.00,1.00,9.6,0,0,0,0.1,0.1,0.10,+0.9,+0.9,Matches
310,Samuele Birindelli,it ITA,DF,Monza,it Serie A,24,1999,22.4,0,25,9,36.0,1.12,0.40,0.00,0.00,18.1,0,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches
311,Tom Bischof,de GER,"MF,FW",Hoffenheim,de Bundesliga,18,2005,2.0,0,5,1,20.0,2.53,0.51,0.00,0.00,23.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
