Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
904,Nathan Fraser,ie IRL,FW,Wolves,eng Premier League,18,2005,2.1,1,0,0,5,3,0,0,1,2,0,0,0,8,3,9,25.0,Matches
905,Davide Frattesi,it ITA,MF,Inter,it Serie A,23,1999,10.6,1,0,0,12,16,1,11,5,6,1,0,0,38,14,15,48.3,Matches
906,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,22,2001,34.9,6,0,0,49,35,1,12,51,72,0,1,0,197,31,29,51.7,Matches
907,Remo Freuler,ch SUI,MF,Bologna,it Serie A,31,1992,29.2,9,0,0,44,15,0,9,36,50,0,1,0,137,20,27,42.6,Matches
908,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,25,1998,24.4,6,0,0,31,17,1,4,35,32,0,1,0,138,40,41,49.4,Matches
909,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,27,1995,17.4,1,0,0,10,10,0,2,17,15,0,0,0,68,37,19,66.1,Matches
910,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,22,2000,25.0,6,0,0,21,34,12,93,7,17,1,0,0,94,13,13,50.0,Matches
911,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,es La Liga,26,1997,17.2,1,0,0,15,25,4,53,7,8,0,0,0,81,14,18,43.8,Matches
912,Chris Führich,de GER,"FW,MF",Stuttgart,de Bundesliga,25,1998,28.5,2,0,0,6,10,3,100,7,19,0,0,0,119,4,14,22.2,Matches
913,Shiō Fukuda,jp JPN,"FW,MF",Gladbach,de Bundesliga,19,2004,0.4,0,0,0,1,0,0,0,1,0,0,0,0,2,3,4,42.9,Matches
914,Angelo Fulgini,fr FRA,MF,Lens,fr Ligue 1,26,1996,15.3,1,0,0,8,25,1,114,8,14,0,0,0,79,33,30,52.4,Matches
915,Niclas Füllkrug,de GER,FW,Werder Bremen,de Bundesliga,30,1993,2.0,0,0,0,2,7,3,0,0,1,0,0,0,3,12,11,52.2,Matches
916,Niclas Füllkrug,de GER,FW,Dortmund,de Bundesliga,30,1993,24.6,1,0,0,26,37,11,5,2,2,0,0,0,39,67,104,39.2,Matches
917,Gerardo Fusco,it ITA,FW,Salernitana,it Serie A,18,2005,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
918,Daniel Fuzato,br BRA,GK,Getafe,es La Liga,26,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
919,Matteo Gabbia,it ITA,DF,Milan,it Serie A,23,1999,14.2,5,0,0,27,8,0,0,10,20,0,0,0,62,35,18,66.0,Matches
920,Matteo Gabbia,it ITA,DF,Villarreal,es La Liga,23,1999,5.3,2,0,0,9,3,0,0,8,6,0,0,0,20,17,5,77.3,Matches
921,Gianluca Gaetano,it ITA,"FW,MF",Cagliari,it Serie A,23,2000,8.3,1,1,0,10,12,3,15,3,4,0,0,0,41,4,24,14.3,Matches
922,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,23,2000,1.8,1,0,0,3,1,0,3,1,1,1,0,0,15,1,3,25.0,Matches
923,Roberto Gagliardini,it ITA,"MF,DF",Monza,it Serie A,29,1994,26.2,5,0,0,26,21,1,8,31,30,0,1,0,140,46,36,56.1,Matches
924,Cody Gakpo,nl NED,"FW,MF",Liverpool,eng Premier League,24,1999,18.3,1,0,0,28,38,8,21,14,17,0,0,0,81,32,27,54.2,Matches
925,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,28,1994,1.0,1,0,0,1,4,0,6,1,4,0,0,0,7,3,1,75.0,Matches
926,Javi Galán,es ESP,DF,Real Sociedad,es La Liga,28,1994,11.9,3,0,0,21,19,3,46,14,22,0,1,0,61,7,6,53.8,Matches
927,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,29,1993,23.2,7,0,0,54,41,0,57,12,31,0,0,1,152,22,23,48.9,Matches
928,Pablo Galdames Millán,cl CHI,"MF,DF",Genoa,it Serie A,26,1996,0.1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50.0,Matches
929,Conor Gallagher,eng ENG,MF,Chelsea,eng Premier League,23,2000,34.8,9,1,1,83,64,1,64,43,52,0,0,0,221,25,28,47.2,Matches
930,Antonino Gallo,it ITA,DF,Lecce,it Serie A,23,2000,27.7,2,0,0,9,17,3,138,25,27,0,0,0,161,25,33,43.1,Matches
931,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,33,1989,13.2,6,0,0,14,6,0,23,15,18,0,1,0,74,12,9,57.1,Matches
932,Kévin Gameiro,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,36,1987,15.0,0,0,0,3,6,3,10,3,10,0,0,0,48,4,12,25.0,Matches
933,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,33,1989,20.9,8,0,0,35,31,0,11,28,44,0,0,0,174,13,9,59.1,Matches
934,Ignatius Ganago,cm CMR,"FW,MF",Nantes,fr Ligue 1,24,1999,2.0,0,0,0,2,6,1,6,1,0,0,0,0,8,5,6,45.5,Matches
935,Aleix García,es ESP,MF,Girona,es La Liga,26,1997,35.5,4,1,0,29,36,1,192,36,28,0,0,0,208,17,23,42.5,Matches
936,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,es La Liga,30,1992,27.5,8,1,1,25,23,25,121,36,25,1,0,0,111,14,27,34.1,Matches
937,Dani García,es ESP,MF,Athletic Club,es La Liga,33,1990,8.3,4,0,0,11,7,0,0,8,11,0,0,0,40,7,8,46.7,Matches
938,David García,es ESP,DF,Osasuna,es La Liga,29,1994,25.9,5,0,0,33,13,1,2,18,18,0,1,0,129,93,35,72.7,Matches
939,Eric García,es ESP,DF,Barcelona,es La Liga,22,2001,0.6,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches
940,Eric García,es ESP,DF,Girona,es La Liga,22,2001,29.3,4,0,0,24,26,3,10,30,37,1,0,0,128,49,37,57.0,Matches
941,Fran Garcia,es ESP,DF,Real Madrid,es La Liga,23,1999,15.5,2,0,0,10,15,10,60,19,17,0,0,0,104,7,15,31.8,Matches
942,Gonzalo García,es ESP,"FW,MF",Real Madrid,es La Liga,19,2004,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
943,Jastin García,es ESP,FW,Girona,es La Liga,19,2004,0.4,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,,Matches
944,Raúl García,es ESP,"FW,MF",Athletic Club,es La Liga,37,1986,4.7,3,0,0,20,10,5,7,3,6,0,1,0,19,27,19,58.7,Matches
