Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
98,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21,2002,6.4,11,3,9,2,0,4,5,80.0,1,4,2,2,9,20,19,2,Matches
99,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27,1996,11.1,23,11,13,6,4,15,23,65.2,8,9,2,7,11,34,34,2,Matches
100,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,26,1996,14.6,22,14,8,10,4,13,19,68.4,6,16,2,14,14,36,18,0,Matches
101,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,26,1996,1.0,4,2,0,3,1,0,3,0.0,3,0,0,0,0,4,1,0,Matches
102,Kofi Amoako,de GER,MF,Wolfsburg,de Bundesliga,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
103,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,eng Premier League,26,1996,10.4,27,16,17,8,2,17,31,54.8,14,20,7,13,8,35,19,2,Matches
104,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27,1996,37.9,56,35,33,21,2,29,39,74.4,10,33,18,15,41,97,207,1,Matches
105,Elliot Anderson,eng ENG,"MF,FW",Newcastle Utd,eng Premier League,20,2002,11.4,24,18,12,9,3,15,29,51.7,14,23,4,19,8,32,23,0,Matches
106,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,30,1993,30.8,78,45,32,33,13,34,90,37.8,56,45,3,42,27,105,23,0,Matches
107,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32,1990,28.6,89,49,39,45,5,43,81,53.1,38,34,5,29,35,124,60,0,Matches
108,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28,1995,1.9,2,1,0,1,1,0,4,0.0,4,2,0,2,0,2,1,0,Matches
109,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,28,1994,18.8,30,18,8,14,8,13,24,54.2,11,15,4,11,20,50,17,0,Matches
110,Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,25,1998,17.3,20,12,14,6,0,14,21,66.7,7,31,18,13,28,48,74,2,Matches
111,Angeliño,es ESP,DF,Roma,it Serie A,26,1997,12.7,21,11,12,6,3,11,19,57.9,8,11,5,6,12,33,37,1,Matches
112,Ângelo,br BRA,"FW,MF",Strasbourg,fr Ligue 1,18,2004,12.2,24,11,9,7,8,11,31,35.5,20,18,0,18,9,33,2,0,Matches
113,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,es La Liga,29,1994,1.8,1,1,1,0,0,1,3,33.3,2,0,0,0,4,5,8,0,Matches
114,Jaidon Anthony,eng ENG,FW,Bournemouth,eng Premier League,23,1999,1.7,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0,Matches
115,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27,1996,32.1,39,25,21,16,2,23,42,54.8,19,33,20,13,40,79,150,1,Matches
116,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33,1990,18.8,15,8,5,6,4,3,11,27.3,8,16,3,13,4,19,4,0,Matches
117,Antony,br BRA,FW,Manchester Utd,eng Premier League,23,2000,14.7,40,21,15,19,6,20,40,50.0,20,29,1,28,12,52,9,0,Matches
118,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29,1994,13.5,21,12,10,6,5,12,22,54.5,10,13,2,11,2,23,11,1,Matches
119,Houssem Aouar,dz ALG,"MF,FW",Roma,it Serie A,25,1998,8.4,16,11,4,10,2,3,12,25.0,9,5,0,5,4,20,2,1,Matches
120,Stredair Appuah,fr FRA,"FW,MF",Nantes,fr Ligue 1,19,2004,0.9,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,1,0,Matches
121,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27,1995,3.8,6,2,3,2,1,1,6,16.7,5,1,0,1,2,8,7,0,Matches
122,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,21,2002,6.0,24,15,12,10,2,15,25,60.0,10,8,3,5,7,31,17,0,Matches
123,Asaf Arania,il ISR,MF,Darmstadt 98,de Bundesliga,17,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
124,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,21,2001,16.2,41,22,29,7,5,23,33,69.7,10,23,16,7,10,51,52,1,Matches
125,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24,1999,22.2,27,22,11,15,1,12,17,70.6,5,20,11,9,12,39,66,2,Matches
126,Oliver Arblaster,eng ENG,MF,Sheffield Utd,eng Premier League,19,2004,10.5,23,14,11,8,4,7,15,46.7,8,17,7,10,16,39,9,0,Matches
127,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,22,2001,20.4,18,13,6,6,6,8,18,44.4,10,22,3,19,1,19,11,0,Matches
128,Cameron Archer,eng ENG,MF,Aston Villa,eng Premier League,22,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
129,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,1993,30.0,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,16,0,Matches
130,Adu Ares,es ESP,FW,Athletic Club,es La Liga,21,2001,2.9,8,4,4,2,2,2,3,66.7,1,1,0,1,1,9,0,0,Matches
131,Jesús Areso,es ESP,DF,Osasuna,es La Liga,24,1999,29.6,45,24,25,13,7,31,38,81.6,7,36,15,21,18,63,58,0,Matches
132,Simone Aresti,it ITA,GK,Cagliari,it Serie A,37,1986,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
133,Matias Arezo,uy URU,FW,Granada,es La Liga,20,2002,4.1,7,3,2,5,0,1,5,20.0,4,4,1,3,1,8,4,0,Matches
134,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,18,2005,0.2,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
135,Yoël Armougom,fr FRA,"DF,MF",Clermont Foot,fr Ligue 1,25,1998,2.6,3,3,2,0,1,2,3,66.7,1,1,0,1,1,4,3,0,Matches
136,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28,1995,10.3,14,8,6,4,4,6,21,28.6,15,11,2,9,3,17,2,0,Matches
137,Hákon Arnar Haraldsson,is ISL,"FW,MF",Lille,fr Ligue 1,20,2003,14.3,12,8,4,7,1,5,21,23.8,16,7,2,5,3,15,5,0,Matches
138,Marko Arnautović,at AUT,FW,Inter,it Serie A,34,1989,8.9,10,4,3,5,2,4,7,57.1,3,8,1,7,5,15,5,0,Matches
139,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29,1994,27.8,51,31,15,27,9,28,57,49.1,29,23,4,19,24,75,60,0,Matches
140,Mohamed El Arouch,fr FRA,FW,Lyon,fr Ligue 1,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
141,Sergio Arribas,es ESP,"MF,FW",Almería,es La Liga,21,2001,22.7,34,17,16,17,1,14,31,45.2,17,20,1,19,16,50,8,1,Matches
142,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28,1994,13.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,Matches
143,Arthur,br BRA,DF,Leverkusen,de Bundesliga,20,2003,2.0,4,3,2,0,2,2,2,100.0,0,1,1,0,0,4,7,0,Matches
144,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,28,1994,22.1,17,6,2,9,6,7,23,30.4,16,17,3,14,4,21,11,0,Matches
145,Marco Asensio,es ESP,"MF,FW",Paris S-G,fr Ligue 1,27,1996,12.4,12,10,4,7,1,4,13,30.8,9,7,0,7,5,17,2,0,Matches
146,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21,2002,8.7,7,2,3,4,0,2,11,18.2,9,9,3,6,11,18,8,0,Matches
147,Joel Asoro,se SWE,"FW,MF",Metz,fr Ligue 1,24,1999,9.4,13,9,7,6,0,3,10,30.0,7,7,1,6,6,19,9,0,Matches
148,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,de Bundesliga,17,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
149,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35,1987,30.1,11,6,4,6,1,1,15,6.7,14,23,3,20,10,21,8,0,Matches
150,Lorenz Assignon,tg TOG,DF,Burnley,eng Premier League,23,2000,13.7,35,17,18,13,4,14,27,51.9,13,22,7,15,19,54,43,1,Matches
151,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,23,2000,11.2,24,12,12,8,4,9,24,37.5,15,9,4,5,9,33,27,1,Matches
152,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,27,1996,4.0,9,3,6,2,1,6,8,75.0,2,7,1,6,4,13,1,0,Matches
153,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17,2005,6.2,19,13,6,9,4,5,13,38.5,8,5,1,4,6,25,9,0,Matches
154,Arthur Atta,fr FRA,"MF,FW",Metz,fr Ligue 1,20,2003,10.3,18,14,8,7,3,8,19,42.1,11,13,3,10,10,28,23,0,Matches
155,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21,2002,34.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,1,Matches
156,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,34,1989,29.1,22,14,4,11,7,7,26,26.9,19,30,5,25,9,31,26,0,Matches
157,Emil Audero,id IDN,GK,Inter,it Serie A,26,1997,3.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
158,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,28,1994,26.9,26,19,18,6,2,16,25,64.0,9,21,10,11,17,43,89,0,Matches
159,Carlos Augusto,br BRA,DF,Inter,it Serie A,24,1999,19.2,29,21,20,9,0,15,22,68.2,7,20,8,12,16,45,52,0,Matches
160,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,22,2000,10.0,14,6,10,3,1,6,9,66.7,3,10,7,3,5,19,23,0,Matches
161,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,eng Premier League,30,1992,9.3,20,14,9,11,0,5,11,45.5,6,10,3,7,9,29,36,1,Matches
162,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,29,1994,9.6,3,2,1,1,1,3,11,27.3,8,14,0,14,4,7,8,0,Matches
163,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,29,1994,3.3,2,1,0,2,0,1,3,33.3,2,2,0,2,1,3,4,0,Matches
164,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25,1997,11.6,9,7,1,4,4,1,2,50.0,1,7,2,5,1,10,9,0,Matches
165,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,33,1989,12.3,15,11,7,6,2,6,9,66.7,3,8,3,5,2,17,11,0,Matches
166,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,31,1991,28.3,65,36,23,28,14,21,42,50.0,21,43,2,41,16,81,15,0,Matches
167,Neil El Aynaoui,ma MAR,MF,Lens,fr Ligue 1,22,2001,17.4,37,20,13,20,4,20,46,43.5,26,20,6,14,32,69,21,1,Matches
168,Sardar Azmoun,ir IRN,"FW,MF",Roma,it Serie A,28,1995,6.5,8,5,2,5,1,4,8,50.0,4,4,1,3,3,11,6,1,Matches
