Nom du joueur,Équipe,Poste,Tacles réussis/90,Interceptions/90,Dégagements/90,Blocs/90,Fautes/90,Cartons jaunes/90,Passes progressives/90,Conduites progressives/90
Castello Lukeba,RB Leipzig,DF,0.492925604746691,0.492925604746691,3.8612505705157463,1.437699680511182,0.3286170698311273,0.1232314011866727,4.395253308991328,0.9447740757644912
Catena,Osasuna,DF,0.6393054459352802,0.5327545382794001,4.226519337016574,0.8524072612470404,1.669297553275454,0.2841357537490134,2.734806629834254,0.1775848460931334
Cedric Zesiger,Wolfsburg,DF,0.4957160342717258,0.8261933904528764,4.847001223990208,1.7625458996328027,1.3219094247246022,0.2753977968176255,4.461444308445532,0.7711138310893512
Cenk Özkacar,Valencia,DF,0.8448060075093868,1.013767209011264,4.730913642052565,1.013767209011264,0.7321652065081352,0.1689612015018773,3.1539424280350437,0.9574468085106382
Chadi Riad,Betis,DF,0.99815157116451,0.9565619223659888,4.491682070240296,0.9565619223659888,0.6238447319778189,0.0415896487985212,1.4140480591497229,0.166358595194085
Chancel Mbemba,Marseille,DF,0.856366107838695,0.5301314000906208,3.874037154508383,0.856366107838695,0.856366107838695,0.0407793384685092,5.342093339374717,0.6524694154961487
Charalampos Lykogiannis,Bologna,DF,0.5973451327433629,0.497787610619469,2.9867256637168142,1.4933628318584071,1.1946902654867255,0.1991150442477876,3.4845132743362828,3.584070796460177
Charlie Taylor,Burnley,DF,0.7722007722007721,0.7335907335907337,3.011583011583012,1.0424710424710424,0.7722007722007721,0.3088803088803089,3.1660231660231664,1.38996138996139
Cheick Konaté,Clermont Foot,DF,1.2640449438202246,1.0955056179775282,1.7696629213483146,1.348314606741573,1.4325842696629214,0.3370786516853932,3.1179775280898876,1.8539325842696628
Chris Basham,Sheffield Utd,"DF,MF",0.5607476635514018,1.4018691588785046,4.766355140186916,2.5233644859813085,0.8411214953271028,0.2803738317757009,1.9626168224299063,0.2803738317757009
Chris Mepham,Bournemouth,DF,1.6045380875202593,1.0210696920583469,4.376012965964343,1.8962722852512155,2.1880064829821717,0.2917341977309562,3.646677471636953,0.5834683954619124
Chris Richards,Crystal Palace,"DF,MF",1.2034383954154728,1.1604584527220632,4.684813753581662,1.3753581661891117,0.5157593123209169,0.1289398280802292,1.8481375358166188,0.0429799426934097
Chris Smalling,Roma,DF,0.2307692307692307,1.1538461538461535,1.8461538461538465,1.3846153846153846,0.2307692307692307,0.0,3.0,0.2307692307692307
Chrislain Matsima,Monaco,DF,0.4262516914749661,0.2435723951285521,0.2435723951285521,0.2435723951285521,0.6089309878213802,0.2435723951285521,1.8876860622462788,0.3044654939106901
Christian Groß,Werder Bremen,"DF,MF",1.806775407779172,1.468005018820577,3.1618569636135505,1.9196988707653704,1.6938519447929736,0.1129234629861982,5.1944792973651195,1.9196988707653704
Christian Günter,Freiburg,DF,1.018867924528302,0.1698113207547169,1.3584905660377358,0.7641509433962264,0.6792452830188679,0.0849056603773584,1.9528301886792452,1.2735849056603774
Christian Kabasele,Udinese,DF,0.7317073170731708,1.254355400696864,5.853658536585367,1.56794425087108,1.56794425087108,0.5226480836236934,2.299651567944251,0.7317073170731708
Christian Mawissa,Toulouse,DF,1.2075134168157424,1.7710196779964222,3.3005366726296956,1.7710196779964222,1.0465116279069768,0.2415026833631484,3.13953488372093,2.0930232558139537
Christoph Klarer,Darmstadt 98,DF,0.8411214953271028,0.8028887000849617,3.593882752761257,1.185216652506372,1.10875106202209,0.3440951571792693,2.4468988954970263,0.3440951571792693
Christoph Zimmermann,Darmstadt 98,DF,1.5491803278688523,1.5491803278688523,4.868852459016393,1.5491803278688523,0.9590163934426228,0.3688524590163934,2.5081967213114753,0.5163934426229508
Christophe Hérelle,Metz,DF,0.8348794063079777,1.0018552875695732,3.784786641929499,0.8905380333951763,0.7792207792207793,0.222634508348794,2.282003710575139,0.0556586270871985
Christopher Jullien,Montpellier,DF,0.8759124087591241,0.8759124087591241,7.737226277372263,1.824817518248175,0.948905109489051,0.364963503649635,1.897810218978102,0.072992700729927
Christopher Operi,Le Havre,DF,1.3251533742331287,1.2883435582822087,2.503067484662577,1.6564417177914113,0.736196319018405,0.2208588957055214,3.0184049079754605,1.1411042944785277
Christopher Trimmel,Union Berlin,DF,0.8201701093560145,0.7108140947752126,3.1166464155528555,0.8748481166464155,0.7108140947752126,0.1093560145808019,4.702308626974484,1.2575941676792224
Christopher Wooh,Rennes,DF,0.7780979827089338,1.1671469740634006,3.306916426512968,1.2319884726224783,1.2319884726224783,0.1945244956772334,3.9553314121037464,0.5187319884726225
Chumi,Almería,DF,0.8134757600657354,0.5176663927691044,3.9564502875924408,1.4050944946589976,0.8504519309778144,0.1479046836483155,2.514379622021364,0.4067378800328677
Clemens Riedel,Darmstadt 98,DF,1.5496688741721854,1.3112582781456954,3.0993377483443707,1.3112582781456954,1.1920529801324504,0.23841059602649,5.602649006622516,0.4768211920529801
Clinton Mata,Lyon,DF,0.972972972972973,1.6216216216216215,2.472972972972973,1.4189189189189189,1.1756756756756757,0.2432432432432432,3.932432432432433,1.2972972972972974
Clément Lenglet,Aston Villa,DF,0.7025151777970512,0.546400693842151,3.668690372940156,1.4830875975715525,0.2341717259323504,0.2341717259323504,3.980919340849957,2.029488291413703
Connor Roberts,Burnley,DF,0.5467800729040098,0.4374240583232077,2.7339003645200486,0.8748481166464155,0.5467800729040098,0.5467800729040098,4.155528554070474,0.6561360874848117
Conor Bradley,Liverpool,DF,2.98804780876494,1.195219123505976,1.6733067729083666,2.0318725099601593,0.9561752988047808,0.2390438247011952,3.4661354581673307,4.183266932270916
Copete,Mallorca,DF,1.8229557389347335,2.1605401350337585,3.1732933233308325,0.8102025506376593,2.430607651912978,0.4726181545386346,3.5108777194298577,0.2025506376594148
Craig Dawson,Wolves,DF,0.8148483476686283,0.6518786781349026,4.88909008601177,2.077863286555002,0.8148483476686283,0.2851969216840199,1.996378451788139,0.0407424173834314
Cristhian Mosquera,Valencia,DF,0.9951219512195122,1.053658536585366,4.009756097560976,1.2292682926829268,0.7317073170731708,0.0585365853658536,2.2536585365853656,0.4097560975609756
Cristian Gamboa,Bochum,DF,1.3647851727042966,1.1373209772535806,2.577927548441449,1.5164279696714404,1.0614995787700086,0.4549283909014321,2.5021061499578767,0.9098567818028644
Cristian Romero,Tottenham,DF,1.2903225806451613,1.4193548387096775,3.4193548387096775,1.4838709677419355,1.0,0.2258064516129032,5.774193548387097,1.032258064516129
Cristiano Biraghi,Fiorentina,DF,1.0696095076400678,0.5348047538200339,1.6426146010186755,1.1460101867572157,1.6808149405772497,0.3056027164685908,4.927843803056027,2.101018675721562
César Azpilicueta,Atlético Madrid,DF,0.8854532677442023,1.0119465917076598,2.9093464511595224,1.5811665495432186,1.8341531974701335,0.2529866479269149,4.869992972593113,2.466619817287421
César Montes,Almería,DF,0.6543624161073825,0.5536912751677853,4.731543624161074,1.0570469798657718,1.1073825503355703,0.2516778523489933,2.61744966442953,0.3523489932885906
Daiki Hashioka,Luton Town,DF,0.7563025210084033,1.2100840336134455,3.025210084033614,1.8151260504201685,1.512605042016807,0.0,3.176470588235294,0.453781512605042
Daley Blind,Girona,DF,0.6359353970390309,0.6359353970390309,3.421938088829071,1.120457604306864,0.5753701211305517,0.1816958277254374,6.32907133243607,1.4535666218034993
Daley Sinkgraven,Las Palmas,DF,1.2032085561497323,1.4438502673796794,2.1657754010695185,1.2032085561497323,0.962566844919786,0.0,4.090909090909091,0.7219251336898397
Damián Suárez,Getafe,DF,1.4549653579676676,0.6928406466512702,2.147806004618938,0.9006928406466513,1.6628175519630484,0.4849884526558891,4.018475750577367,1.3856812933025404
Dan Burn,Newcastle Utd,DF,1.0895084372707262,1.2215700660308144,4.093910491562729,1.8158473954512104,1.0564930300807045,0.132061628760088,2.4761555392516508,0.4622157006603081
Dan-Axel Zagadou,Stuttgart,DF,0.8671713695801789,1.2388162422573985,4.831383344803854,1.424638678596008,1.0529938059187889,0.0619408121128699,4.645560908465244,0.1238816242257398
Dani Carvajal,Real Madrid,DF,1.3265776140027636,0.9120221096269,2.238599723629664,1.1607554122524182,0.9534776600644864,0.2072777521879318,3.3993551358820824,1.243666513127591
Daniel Muñoz,Crystal Palace,"DF,MF",2.189020152883947,1.5010423905489922,2.9395413481584436,1.813759555246699,1.8763029881862403,0.2501737317581654,2.376650451702571,1.5635858234885338
Daniel Vivian,Athletic Club,DF,0.8756080611535789,0.9694232105628908,3.25225851285615,1.532314107018763,1.1570535093815149,0.187630298818624,3.846421125781792,0.7192494788047255
Daniele Rugani,Juventus,DF,0.6823925863521483,0.6823925863521483,3.184498736310025,0.8340353833192923,1.1373209772535806,0.151642796967144,3.4877843302443132,0.151642796967144
Danilho Doekhi,Union Berlin,DF,0.9583333333333331,1.5833333333333337,4.625,1.9166666666666663,0.5416666666666666,0.0833333333333333,2.708333333333333,0.2916666666666667
Danilo,Juventus,DF,1.3213703099510603,1.3580750407830342,3.450244698205547,1.2479608482871123,0.9543230016313214,0.2569331158238173,5.9094616639477975,0.6606851549755302
