Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MainPos,MP,Starts,Min,90s,CrdY,CrdR,Gls,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,xG,npxG,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,PK,PKatt,Ast,KP,xAG,xA,A-xAG,PPA,CrsPA,Touches,Att 3rd_possession,Att Pen,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,PrgDist_possession,CPA,Mis,Dis,PrgR,PrgC_possession,1/3_possession,Cmp,Att_passing,Cmp%,PrgP,Fls,Fld,Recov,Won,Lost_misc,Won%,Min%,Compl,Subs,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
764,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,23.0,1999.0,FW,32,7,905,10.1,2,0,7,26.0,15.0,57.7,2.59,1.49,0.27,0.47,13.5,0.0,4.6,4.6,4.6,4.6,0.18,2.4,2.4,0,0,1,8,1.3,0.6,-0.3,6,1,292,145,49,22,9,40.9,11,50.0,172,10,319,6,38,20,53,10,6,105,166,63.3,13,18.0,30.0,22.0,35.0,28.0,55.6,26.5,2.0,25.0,1.16,12.0,23.0,-11.0,-1.09,13.8,21.3,-7.5,-0.74
224,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,21.0,2001.0,FW,29,20,1427,15.9,1,0,4,37.0,12.0,32.4,2.33,0.76,0.11,0.33,17.7,1.0,3.5,3.5,3.5,3.5,0.1,0.5,0.5,0,0,1,13,1.3,1.1,-0.3,15,4,794,415,68,78,38,48.7,30,38.5,526,56,1479,22,55,45,163,56,35,372,555,67.0,39,27.0,22.0,83.0,14.0,24.0,36.8,41.7,0.0,9.0,1.45,24.0,18.0,6.0,0.38,18.9,16.2,2.7,0.17
268,Andrea Belotti,it ITA,FW,Roma,it Serie A,29.0,1993.0,FW,29,17,1628,7.5,1,0,6,15.0,8.0,40.3,2.56,0.9550000000000001,0.14500000000000002,0.355,13.9,0.0,2.4,2.4,2.4,2.4,0.16,0.6,0.6,0,0,2,8,1.2,0.9,0.8,1,0,238,107,34,15,7,31.700000000000003,6,45.0,160,15,350,6,21,12,49,15,9,115,155,70.2,8,14.0,25.0,15.0,14.0,22.0,43.25,23.799999999999997,4.0,8.0,1.38,12.0,12.0,0.0,0.095,11.1,6.9,4.2,0.56
2105,Andrea Petagna,it ITA,FW,Cagliari,it Serie A,28.0,1995.0,FW,18,13,995,11.1,2,0,1,20.0,8.0,40.0,1.81,0.72,0.05,0.13,13.7,0.0,1.6,1.6,1.6,1.6,0.08,-0.6,-0.6,0,0,1,18,1.0,1.1,0.0,5,0,328,153,39,17,11,64.7,4,23.5,180,11,264,3,31,23,56,11,8,170,239,71.1,14,18.0,22.0,25.0,26.0,30.0,46.4,29.1,4.0,5.0,0.72,12.0,20.0,-8.0,-0.72,10.9,19.2,-8.2,-0.75
2128,Andrea Pinamonti,it ITA,FW,Sassuolo,it Serie A,24.0,1999.0,FW,38,37,3076,34.2,4,0,11,80.0,19.0,23.8,2.34,0.56,0.11,0.47,16.4,0.0,8.9,6.6,8.9,6.6,0.08,2.1,2.4,2,3,1,18,1.9,2.2,-0.9,11,0,939,420,144,31,12,38.7,16,51.6,455,17,475,15,63,37,165,17,11,411,630,65.2,45,22.0,51.0,69.0,79.0,159.0,33.2,89.9,13.0,1.0,0.79,40.0,63.0,-23.0,-0.67,34.7,53.2,-18.5,-0.54
1181,Andrej Ilic,rs SRB,FW,Lille,fr Ligue 1,23.0,2000.0,FW,2,0,9,0.1,0,0,0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,,0,,1,0,1,0,0,0,0,0,0,1,1,100.0,0,1.0,0.0,0.0,0.0,0.0,,0.3,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,-0.49
165,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,33.0,1989.0,FW,19,12,1104,12.3,2,1,5,32.0,12.0,37.5,2.61,0.98,0.16,0.42,15.1,1.0,3.1,3.1,3.1,3.1,0.1,1.9,1.9,0,0,0,8,0.8,0.5,-0.8,4,1,389,168,49,28,16,57.1,10,35.7,255,14,501,5,25,20,65,14,10,197,266,74.1,23,15.0,26.0,40.0,44.0,62.0,41.5,36.1,5.0,7.0,0.74,13.0,20.0,-7.0,-0.57,13.9,20.0,-6.2,-0.5
2426,André Silva,pt POR,FW,Real Sociedad,es La Liga,27.0,1995.0,FW,19,9,729,8.1,1,0,3,15.0,5.0,33.3,1.85,0.62,0.13,0.4,19.1,1.0,3.3,2.5,3.3,2.5,0.17,-0.3,-0.5,1,1,0,5,0.3,0.2,-0.3,1,0,239,128,25,23,6,26.1,16,69.6,137,5,242,4,17,18,44,5,5,134,165,81.2,7,14.0,8.0,22.0,12.0,18.0,40.0,21.3,0.0,10.0,1.42,8.0,8.0,0.0,0.0,9.2,8.3,0.8,0.1
397,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,32.0,1991.0,FW,33,29,2435,27.1,4,0,17,73.0,31.0,42.5,2.7,1.15,0.19,0.45,12.8,0.0,14.2,11.1,14.2,11.1,0.15,2.8,2.9,3,4,2,12,1.8,1.8,0.2,10,2,736,382,152,31,10,32.3,20,64.5,311,21,504,17,81,31,99,21,12,241,441,54.6,42,40.0,26.0,55.0,158.0,124.0,56.0,71.2,10.0,4.0,1.3,34.0,40.0,-6.0,-0.22,30.1,31.9,-1.8,-0.07
805,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,21.0,2002.0,FW,36,25,2433,27.0,1,0,5,54.0,22.0,40.7,2.0,0.81,0.09,0.23,16.2,0.0,6.6,6.6,6.6,6.6,0.12,-1.6,-1.6,0,0,9,32,6.7,4.0,2.3,24,5,1022,507,122,76,28,36.8,42,55.3,625,98,2514,42,67,22,196,98,54,498,712,69.9,49,9.0,26.0,96.0,17.0,37.0,31.5,71.1,15.0,11.0,0.97,40.0,47.0,-7.0,-0.26,39.1,39.8,-0.7,-0.03
1011,Anthony Gordon,eng ENG,FW,Newcastle Utd,eng Premier League,22.0,2001.0,FW,35,34,2890,32.1,12,1,11,80.0,29.0,36.3,2.49,0.9,0.13,0.34,17.3,1.0,10.2,9.4,10.2,9.4,0.12,0.8,0.6,1,1,10,57,8.0,5.6,2.0,39,12,1424,733,147,133,54,40.6,56,42.1,955,138,3668,59,70,40,232,138,73,803,1055,76.1,101,38.0,67.0,125.0,9.0,17.0,34.6,84.5,16.0,1.0,1.57,71.0,48.0,23.0,0.72,62.2,50.4,11.8,0.37
